CAS,Density g/ml,V/ul,loading solvent,Volume of loading solvent/ul,PE/EA,Flow mL/min,Ending time,column_specs,t1,t2,smiles,verified t1,verified t2
90-12-0,1.001,100,DCM,400,90/10,10,2024-12-03_11-27-16.xlsx,CN,276,1426,CC1=CC=CC2=CC=CC=C12,276,1426
90-12-0,1.001,100,DCM,400,80/20,10,2024-12-03_11-31-03.xlsx,CN,537,1210,CC1=CC=CC2=CC=CC=C12,537,1210
90-12-0,1.001,100,DCM,400,70/30,10,2024-12-03_11-40-01.xlsx,CN,545,4311,CC1=CC=CC2=CC=CC=C12,545,4311
90-12-0,1.001,100,DCM,400,60/40,10,2024-12-03_12-01-55.xlsx,CN,630,4246,CC1=CC=CC2=CC=CC=C12,630,4246
90-12-0,1.001,100,DCM,400,50/50,10,2024-12-03_12-12-49.xlsx,CN,1237,5485,CC1=CC=CC2=CC=CC=C12,1237,5485
530-48-3,1.021,100,DCM,400,90/10,10,2024-12-03_12-22-53.xlsx,CN,288,1668,C=C(C1=CC=CC=C1)C2=CC=CC=C2,288,1668
530-48-3,1.021,100,DCM,400,80/20,10,2024-12-03_12-27-50.xlsx,CN,516,1931,C=C(C1=CC=CC=C1)C2=CC=CC=C2,516,1931
530-48-3,1.021,100,DCM,400,70/30,10,2024-12-03_12-41-17.xlsx,CN,547,6990,C=C(C1=CC=CC=C1)C2=CC=CC=C2,547,6990
530-48-3,1.021,100,DCM,400,60/40,10,2024-12-03_12-56-13.xlsx,CN,587,7883,C=C(C1=CC=CC=C1)C2=CC=CC=C2,587,7883
530-48-3,1.021,100,DCM,400,50/50,10,2024-12-03_13-26-50.xlsx,CN,615,17310,C=C(C1=CC=CC=C1)C2=CC=CC=C2,615,17310
826-73-3,1.071,100,DCM,400,90/10,10,2024-12-03_13-48-50.xlsx,CN,320,1302,C1CCC(=O)C2=CC=CC=C2C1,320,1302
826-73-3,1.071,100,DCM,400,80/20,10,2024-12-03_13-52-47.xlsx,CN,525,1325,C1CCC(=O)C2=CC=CC=C2C1,525,1325
826-73-3,1.071,100,DCM,400,70/30,10,2024-12-03_13-57-49.xlsx,CN,527,1976,C1CCC(=O)C2=CC=CC=C2C1,527,1976
