CAS,Density g/ml,V/ul,loading solvent,Volume of loading solvent/ul,PE/EA,Flow mL/min,Ending time,column_specs,t1,t2,smiles,verified t1,verified t2
101-97-3,1.03,100,DCM,400,80/20,10,2024-11-19_10-39-28.xlsx,C18,519,1034,CCOC(=O)CC1=CC=CC=C1,519,1034
101-97-3,1.03,100,DCM,400,70/30,10,2024-11-19_10-47-30.xlsx,C18,518,1404,CCOC(=O)CC1=CC=CC=C1,518,1404
101-97-3,1.03,100,DCM,400,60/40,10,2024-11-19_11-14-42.xlsx,C18,1386,2681,CCOC(=O)CC1=CC=CC=C1,1386,2681
101-97-3,1.03,100,DCM,400,50/50,10,2024-11-19_11-24-41.xlsx,C18,2892,4943,CCOC(=O)CC1=CC=CC=C1,2892,4943
1694-31-1,0.954,100,DCM,400,90/10,10,2024-11-19_10-36-00.xlsx,C18,412,1121,CC(=O)CC(=O)OC(C)(C)C,412,1121
1694-31-1,0.954,100,DCM,400,80/20,10,2024-11-19_10-43-22.xlsx,C18,435,1498,CC(=O)CC(=O)OC(C)(C)C,435,1498
1694-31-1,0.954,100,DCM,400,70/30,10,2024-11-19_10-53-49.xlsx,C18,488,2914,CC(=O)CC(=O)OC(C)(C)C,488,2914
1694-31-1,0.954,100,DCM,400,60/40,10,2024-11-19_11-36-49.xlsx,C18,830,1401,CC(=O)CC(=O)OC(C)(C)C,830,1401
1694-31-1,0.954,100,DCM,400,50/50,10,2024-11-19_11-41-46.xlsx,C18,1314,1949,CC(=O)CC(=O)OC(C)(C)C,1314,1949
2550-26-7,0.989,100,DCM,400,90/10,10,2024-11-19_12-55-20.xlsx,C18,361,840,CC(=O)CCC1=CC=CC=C1,361,840
2550-26-7,0.989,100,DCM,400,80/20,10,2024-11-19_12-58-42.xlsx,C18,530,959,CC(=O)CCC1=CC=CC=C1,530,959
2550-26-7,0.989,100,DCM,400,70/30,10,2024-11-19_13-02-39.xlsx,C18,613,1306,CC(=O)CCC1=CC=CC=C1,613,1306
2550-26-7,0.989,100,DCM,400,60/40,10,2024-11-19_13-07-26.xlsx,C18,990,1801,CC(=O)CCC1=CC=CC=C1,990,1801
2550-26-7,0.989,100,DCM,400,50/50,10,2024-11-19_13-14-28.xlsx,C18,2171,3177,CC(=O)CCC1=CC=CC=C1,2171,3177
119-36-8,1.174,100,DCM,400,90/10,10,2024-11-19_16-39-44.xlsx,C18,608,1352,COC(=O)C1=CC=CC=C1O,608,1352
119-36-8,1.174,100,DCM,400,80/20,10,2024-11-19_17-08-18.xlsx,C18,523,1262,COC(=O)C1=CC=CC=C1O,523,1262
119-36-8,1.174,100,DCM,400,70/30,10,2024-11-19_17-13-20.xlsx,C18,416,1964,COC(=O)C1=CC=CC=C1O,416,1964
119-36-8,1.174,100,DCM,400,60/40,10,2024-11-19_17-20-33.xlsx,C18,1098,3287,COC(=O)C1=CC=CC=C1O,1098,3287
119-36-8,1.174,100,DCM,400,50/50,10,2024-11-19_17-34-42.xlsx,C18,2873,7435,COC(=O)C1=CC=CC=C1O,2873,7435
